geneSymbol	geneid
A1CF	ENSG00000148584
A4GALT	ENSG00000128274
A4GNT	ENSG00000118017
AAAS	ENSG00000094914
AACS	ENSG00000081760
AADAC	ENSG00000114771
AAGAB	ENSG00000103591
AAK1	ENSG00000115977
AAMP	ENSG00000127837
AANAT	ENSG00000129673
AARS	ENSG00000090861
AASDHPPT	ENSG00000149313
AASS	ENSG00000008311
AATF	ENSG00000275700
AATK	ENSG00000181409
ABAT	ENSG00000183044
ABCA1	ENSG00000165029
ABCA12	ENSG00000144452
ABCA2	ENSG00000107331
ABCA3	ENSG00000167972
ABCA4	ENSG00000198691
ABCA5	ENSG00000154265
ABCA6	ENSG00000154262
ABCA7	ENSG00000064687
ABCA8	ENSG00000141338
ABCB1	ENSG00000085563
ABCB11	ENSG00000073734
ABCB4	ENSG00000005471
ABCB6	ENSG00000115657
ABCB7	ENSG00000131269
ABCB8	ENSG00000197150
ABCB9	ENSG00000150967
ABCC1	ENSG00000103222
ABCC10	ENSG00000124574
ABCC2	ENSG00000023839
ABCC3	ENSG00000108846
ABCC4	ENSG00000125257
ABCC5	ENSG00000114770
ABCC8	ENSG00000006071
ABCC9	ENSG00000069431
ABCD1	ENSG00000101986
ABCD2	ENSG00000173208
ABCD3	ENSG00000117528
ABCD4	ENSG00000119688
ABCE1	ENSG00000164163
ABCF1	ENSG00000204574
ABCF3	ENSG00000161204
ABCG1	ENSG00000160179
ABCG2	ENSG00000118777
ABCG4	ENSG00000172350
ABCG5	ENSG00000138075
ABHD10	ENSG00000144827
ABHD11	ENSG00000106077
ABHD14A	ENSG00000248487
ABHD2	ENSG00000140526
ABHD3	ENSG00000158201
ABHD4	ENSG00000100439
ABHD5	ENSG00000011198
ABHD6	ENSG00000163686
ABHD8	ENSG00000127220
ABI1	ENSG00000136754
ABI2	ENSG00000138443
ABL1	ENSG00000097007
ABL2	ENSG00000143322
ABLIM1	ENSG00000099204
ABLIM3	ENSG00000173210
ABO	ENSG00000175164
ABR	ENSG00000159842
ABT1	ENSG00000146109
ABTB2	ENSG00000166016
ACAA1	ENSG00000060971
ACAA2	ENSG00000167315
ACACA	ENSG00000278540
ACACB	ENSG00000076555
ACAD10	ENSG00000111271
ACAD8	ENSG00000151498
ACADL	ENSG00000115361
ACADM	ENSG00000117054
ACADS	ENSG00000122971
ACADSB	ENSG00000196177
ACADVL	ENSG00000072778
ACAN	ENSG00000157766
ACAP1	ENSG00000072818
ACAP2	ENSG00000114331
ACAT1	ENSG00000075239
ACAT2	ENSG00000120437
ACBD3	ENSG00000182827
ACBD4	ENSG00000181513
ACD	ENSG00000102977
ACE	ENSG00000159640
ACE2	ENSG00000130234
ACHE	ENSG00000087085
ACIN1	ENSG00000100813
ACLY	ENSG00000131473
ACO1	ENSG00000122729
ACO2	ENSG00000100412
ACOT11	ENSG00000162390
ACOT13	ENSG00000112304
ACOT7	ENSG00000097021
ACOT8	ENSG00000101473
ACOT9	ENSG00000123130
ACOX1	ENSG00000161533
ACOX2	ENSG00000168306
ACOX3	ENSG00000087008
ACOXL	ENSG00000153093
ACP1	ENSG00000143727
ACP2	ENSG00000134575
ACP5	ENSG00000102575
ACP6	ENSG00000162836
ACPP	ENSG00000014257
ACRV1	ENSG00000134940
ACSBG1	ENSG00000103740
ACSBG2	ENSG00000130377
ACSF2	ENSG00000167107
ACSL1	ENSG00000151726
ACSL3	ENSG00000123983
ACSL5	ENSG00000197142
ACSL6	ENSG00000164398
ACSM3	ENSG00000005187
ACSM5	ENSG00000183549
ACSS3	ENSG00000111058
ACTA1	ENSG00000143632
ACTA2	ENSG00000107796
ACTC1	ENSG00000159251
ACTG1	ENSG00000184009
ACTG2	ENSG00000163017
ACTL6A	ENSG00000136518
ACTL6B	ENSG00000077080
ACTL7A	ENSG00000187003
ACTL7B	ENSG00000148156
ACTL8	ENSG00000117148
ACTN1	ENSG00000072110
ACTN2	ENSG00000077522
ACTN3	ENSG00000248746
ACTN4	ENSG00000130402
ACTR10	ENSG00000131966
ACTR1A	ENSG00000138107
ACTR1B	ENSG00000115073
ACTR2	ENSG00000138071
ACTR3	ENSG00000115091
ACTR3B	ENSG00000133627
ACTR5	ENSG00000101442
ACTR6	ENSG00000075089
ACTR8	ENSG00000113812
ACVR1	ENSG00000115170
ACVR1B	ENSG00000135503
ACVR2A	ENSG00000121989
ACVR2B	ENSG00000114739
ACVRL1	ENSG00000139567
ACYP1	ENSG00000119640
ACYP2	ENSG00000170634
ADA	ENSG00000196839
ADAM10	ENSG00000137845
ADAM11	ENSG00000073670
ADAM12	ENSG00000148848
ADAM15	ENSG00000143537
ADAM17	ENSG00000151694
ADAM18	ENSG00000168619
ADAM19	ENSG00000135074
ADAM2	ENSG00000104755
ADAM20	ENSG00000134007
ADAM21	ENSG00000139985
ADAM22	ENSG00000008277
ADAM23	ENSG00000114948
ADAM28	ENSG00000042980
ADAM29	ENSG00000168594
ADAM30	ENSG00000134249
ADAM7	ENSG00000069206
ADAM8	ENSG00000151651
ADAM9	ENSG00000168615
